"Table P2.  Primary Energy Production Estimates in Trillion Btu, 2019 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
State,Fossil Fuels,,,,,,Nuclear Electric Power,,Renewable Energy,,,,,,Total   ,
Federal Offshore - Pacific,—,,(g),,25.4,,—,,—,,—,,—,,25.4,
,,,,,,,,,,,,,,,,
United States,"14,290.7",,"41,734.8",,"25,473.1",,"8,451.9",,"2,327.5",,"2,782.3",,"6,416.7",,"101,477.0",
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
a  Includes refuse recovery.,,,,,,,"f  Consumption of noncombustible renewable energy, including ",,,,,,,,,
b  Marketed production.,,,,,,,"hydroelectric power as well as geothernal, solar, and wind energy.",,,,,,,,,
c  Includes lease condensate.,,,,,,,g  Production of federal offshore natural gas along the Pacific,,,,,,,,,
d  Biomass inputs (feedstock) to the production of biofuels.,,,,,,,coast is included in California.,,,,,,,,,
e  Wood energy production and biomass waste energy consumption.,,,,,,,— = Not applicable.  (s) = Less than 0.05 trillion Btu.,,,,,,,,,
,,,,,,,,,,,,,,,,
Note: Totals may not equal sum of components due to independent rounding.,,,,,,,,,,,,,,,,
"Sources: Data sources, estimation procedures, and assumptions are described in the documentation at",,,,,,,,,,,,,,,,
http://www.eia.gov/state/seds/seds-technical-notes-complete.php,,,,,,,,,,,,,,,,
