"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=M&datecode=202111&tab=overview&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Wed Mar 23 2022 10:36:44 GMT-0400 (Eastern Daylight Saving Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","Plant Code","State","Sector Name","Prime Movers","Fuel Types","Primary Technology"
" Wethersfield",56902,"NY","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"0 Hammond St CSG",64876,"MA","IPP Non-CHP","BA, PV","MWH, SUN","Multiple"
"10 Briggs Solar NG, LLC (East)",62781,"RI","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"10 Finderne Avenue Solar, LLC",64023,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"100 Brook Hill Drive Solar",63292,"NY","Commercial Non-CHP","PV","SUN","Solar Photovoltaic"
"1001 Ebenezer Church Solar",63444,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1008 Matthews Solar",63447,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1009 Yadkin Solar",63445,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"101 Carnegie Center Solar, LLC",64025,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1025 Traveller Solar, LLC",62660,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1034 Catherine Lake Solar, LLC",64478,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1045 Tomlin Mill Solar",63448,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1047 Little Mountain Solar, LLC",62661,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1051 Lucky Solar, LLC",64271,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1073 Onslow Solar",63446,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"115 G Fisher",65092,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"12 Applegate Solar LLC",59371,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"126 Grove Solar LLC",60858,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"13 Mile Solar, LLC",64456,"MI","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1420 Coil Av #C",57310,"CA","Commercial Non-CHP","PV","SUN","Solar Photovoltaic"
"145 Talmadge Solar",57458,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1515 S Caron Road",7770,"IL","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"154 D Fisher",65093,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"158th Fighter Wing Solar Farm",60542,"VT","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"1634 Solar",61935,"SC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"180 Raritan Solar",58187,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"191 Peachtree Tower",54818,"GA","Commercial Non-CHP","IC","DFO","Petroleum Liquids"
"1st Energy",8812,"VA","Electric Utility","--","--","--"
"201 Sturbridge B",59822,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"205 Sturbridge A",59821,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"2081 Terzian Solar Project",58918,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"2097 Helton Solar Project",58920,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"2127 Harris Solar Project",58919,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"231 Dixon 74 Solar I, LLC",61195,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"232 Long Branch 29 Solar I, LLC",63296,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"24 Applegate Solar LLC",59365,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"25 Ashdown Road Solar, LLC",62998,"NY","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"2555 E Olympic Bl",57871,"CA","Commercial Non-CHP","PV","SUN","Solar Photovoltaic"
"265 Pleasant Solar NG, LLC",59485,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"2662 Freeport Solar 1 CSG",64058,"IL","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"28 Livermore Hill Road Solar",64014,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"2W Permian Solar Project Hybrid",63255,"TX","IPP Non-CHP","BA, PV","MWH, SUN","Multiple"
"3 MW LLC",64592,"CO","Industrial Non-CHP","IC","OG","Other Gases"
"301 Chestnut Solar NG",61518,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"315 Vinson Road",63979,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"350 Clark Solar, NG, LLC",61224,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"4 Applegate Solar LLC",59370,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"433 Purchase Solar NG, LLC",61237,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"435A Bergen Avenue",63366,"NJ","Commercial Non-CHP","PV","SUN","Solar Photovoltaic"
"45 Mile Hydroelectric Project",58455,"OR","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"46 Meadowlands Parkway",62325,"NJ","Commercial Non-CHP","PV","SUN","Solar Photovoltaic"
"4710 Hosting",62162,"MN","Commercial Non-CHP","IC","DFO","Petroleum Liquids"
"491 E 48th Street",7268,"MI","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"4Oaks",59534,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"500 Virginia Solar",57640,"PA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"500MW CC",56196,"NY","Electric Utility","CA, CT","NG","Natural Gas Fired Combined Cycle"
"510 Carnegie Center",64194,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"510 REPP One",57363,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"580 River Solar",65085,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"59th Street",2503,"NY","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"6140 Route 209 - North",64046,"NY","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"631 Owner Turbine",59639,"MA","Industrial Non-CHP","WT","WND","Onshore Wind Turbine"
"651 Chase Solar NG",59046,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"6685 Santa Barbara Ct",64343,"MD","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"701 Carnegie Center",64195,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"7185 13th Pl. NW",63970,"DC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"7448 Candlewood Road",64502,"MD","Commercial Non-CHP","PV","SUN","Solar Photovoltaic"
"74th Street",2504,"NY","Electric Utility","GT","KER","Petroleum Liquids"
"77 Metro Way",62326,"NJ","Commercial Non-CHP","PV","SUN","Solar Photovoltaic"
"85 A",52162,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"85 B",52163,"CA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"98th Street Battery Storage Station",62839,"NY","Electric Utility","BA","MWH","Batteries"
"99 Islands",3272,"SC","Electric Utility","HY","WAT","Conventional Hydroelectric"
"A B Brown",6137,"IN","Electric Utility","GT, ST","BIT, NG","Multiple"
"A G Wishon",293,"CA","Electric Utility","HY","WAT","Conventional Hydroelectric"
"A L Pierce",6635,"CT","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"A Street 1",64114,"RI","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"A Street 2",64111,"RI","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"A.J. Mihm Generating Station",61391,"MI","Electric Utility","IC","NG","Natural Gas Internal Combustion Engine"
"ABC Coke",56076,"AL","Industrial CHP","ST","OG","Other Gases"
"ABD Farms",61525,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"ABEC #2 dba West-Star Dairy",61501,"CA","IPP Non-CHP","IC","OBG","Other Waste Biomass"
"ABEC #3 dba Lakeview Dairy",61502,"CA","IPP Non-CHP","IC","OBG","Other Waste Biomass"
"ABEC #4 dba CE&S Dairy",61503,"CA","IPP Non-CHP","IC","OBG","Other Waste Biomass"
"ABEC Bidart-Old River LLC",58699,"CA","IPP Non-CHP","IC","OBG","Other Waste Biomass"
"AC Criminal Courts Complex SPE2, LLC",58798,"NJ","Commercial Non-CHP","PV","SUN","Solar Photovoltaic"
"AC Power",63260,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"ACCC Mays Landing",60802,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"ACCP NJ 1",63198,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"ACE-Stanton A PV",61247,"FL","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"ACE-Stanton PV",61246,"FL","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"ACM - Midtown Thermal",63483,"NJ","Commercial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"ACUA",61923,"NJ","IPP Non-CHP","BA","MWH","Batteries"
"ADA Carbon Solutions Red River",57938,"LA","Industrial CHP","ST","WH","All Other"
"ADS Renewable Energy-Wolf Creek LLC",60184,"GA","IPP Non-CHP","IC","LFG","Landfill Gas"
"AEC- Santa Rosa Solar",64819,"CA","Electric Utility","PV","SUN","Solar Photovoltaic"
"AEP Bluffton NaS",60618,"OH","Electric Utility","BA","MWH","Batteries"
"AEP Churubusco NaS",60617,"IN","Electric Utility","BA","MWH","Batteries"
"AEP Jacksonville Solar Project",61388,"FL","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"AEP Milton NaS",59995,"WV","Electric Utility","BA","MWH","Batteries"
"AES Alamitos Energy Center",62115,"CA","IPP Non-CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"AES Alamitos LLC",315,"CA","IPP Non-CHP","ST","NG","Natural Gas Steam Turbine"
"AES Belleville Solar LLC",65127,"IL","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"AES ES ALAMITOS, LLC",61204,"CA","IPP Non-CHP","BA","MWH","Batteries"
"AES ES GILBERT",61861,"AZ","IPP Non-CHP","BA","MWH","Batteries"
"AES Griggs Solar, LLC",64328,"IL","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"AES Hawaii",10673,"HI","IPP CHP","ST","SUB","Conventional Steam Coal"
"AES Huntington Beach Energy Project",62116,"CA","IPP Non-CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"AES Huntington Beach LLC",335,"CA","IPP Non-CHP","ST","NG","Natural Gas Steam Turbine"
"AES Kekaha Solar, LLC Hybrid",63280,"HI","IPP Non-CHP","BA, PV","MWH, SUN","Multiple"
"AES LAWAI SOLAR Hybrid",61068,"HI","IPP Non-CHP","BA, PV","MWH, SUN","Multiple"
"AES Petersburg",994,"IN","Electric Utility","IC, ST","BIT, DFO","Multiple"
"AES Redondo Beach LLC",356,"CA","IPP Non-CHP","ST","NG","Natural Gas Steam Turbine"
"AES Tonawanda Solar LLC",63161,"NY","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"AES Warrior Run Cogeneration Facility",10678,"MD","IPP CHP","ST","BIT","Conventional Steam Coal"
"AES Warrior Run Energy Storage Project",59949,"MD","IPP Non-CHP","BA","MWH","Batteries"
"AFA Solar Farm",57554,"CO","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"AGA TAG Solar III LLC",63243,"SC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"AGA TAG Solar IV LLC",63225,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"AGT000 Stevens Creek Fuel Cell",63699,"CA","IPP Non-CHP","FC","NG","Other Natural Gas"
"AGT001 Centerville Fuel Cell",63700,"DE","IPP Non-CHP","FC","NG","Other Natural Gas"
"AIS Solar Project",60986,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"AL Sandersville LLC",55672,"GA","IPP Non-CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"ALDI DC 2",62615,"CT","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"AM Best Farm",58344,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"AMEA Peaking",56018,"AL","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"AMP Napoleon Solar Facility",58082,"OH","Electric Utility","PV","SUN","Solar Photovoltaic"
"ANAD Solar Array",60680,"AL","Electric Utility","PV","SUN","Solar Photovoltaic"
"ANP Bellingham Energy Project",55211,"MA","IPP Non-CHP","CS","NG","Natural Gas Fired Combined Cycle"
"ANP Blackstone Energy Project",55212,"MA","IPP Non-CHP","CS","NG","Natural Gas Fired Combined Cycle"
"ANSON Solar Center, LLC",64026,"TX","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"AOC, Capitol Power Plant",63347,"DC","Commercial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"AP North Lake I, LP",59610,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"APG Combined Heat and Power Plant",61282,"MD","Commercial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"APG New Chesapeake",62629,"MD","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"APG Old Bayside",62628,"MD","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"APP Prune A-D",62577,"CA","IPP Non-CHP","FC","NG","Other Natural Gas"
"ASTI",58889,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"AT&T - Gardena",65205,"CA","IPP Non-CHP","FC","NG","Other Natural Gas"
"AT&T - Hawthorne",65206,"CA","IPP Non-CHP","FC","NG","Other Natural Gas"
"AT&T - Hayward",65208,"CA","IPP Non-CHP","FC","NG","Other Natural Gas"
"AT&T - Redwood City",65204,"CA","IPP Non-CHP","FC","NG","Other Natural Gas"
"AT&T Anaheim",61154,"CA","IPP Non-CHP","FC","NG","Other Natural Gas"
"AT&T Holger",61153,"CA","IPP Non-CHP","FC","NG","Other Natural Gas"
"AT&T Middletown",65194,"NJ","IPP Non-CHP","FC","NG","Other Natural Gas"
"AT&T San Diego",65192,"CA","IPP Non-CHP","FC","NG","Other Natural Gas"
"ATOOD Solar III LLC",63242,"SC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"ATOOD Solar IV, LLC",63383,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"ATT  Kelvin",62573,"CA","IPP Non-CHP","FC","NG","Other Natural Gas"
"ATT Jericho",62572,"NY","IPP Non-CHP","FC","NG","Other Natural Gas"
"ATT North Watney",63605,"CA","Commercial Non-CHP","FC","NG","Other Natural Gas"
"ATT Van Nyus",62574,"CA","IPP Non-CHP","FC","NG","Other Natural Gas"
"ATT Ventura Blvd",63606,"CA","Commercial Non-CHP","FC","NG","Other Natural Gas"
"AV Solar Ranch One",57378,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"AVS Lancaster 1",60085,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"AZ State University - Tempe Campus Solar",62643,"AZ","Commercial Non-CHP","PV","SUN","Solar Photovoltaic"
"Abbot Solar",61936,"SC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Abbott TP 3",3581,"TX","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Aberdeen CT",3338,"SD","Electric Utility","GT","DFO, NG","Multiple"
"Abiquiu Dam",7789,"NM","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Acadia Energy Center",55173,"LA","Electric Utility","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Ace Solar",61937,"SC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Achilles Solar",62621,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Acme Solar, LLC",64238,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Acorn I Energy Storage LLC",62874,"CA","IPP Non-CHP","BA","MWH","Batteries"
"Acton Solar Landfill",59543,"MA","Commercial Non-CHP","PV","SUN","Solar Photovoltaic"
"Acturus Community Solar",61705,"MN","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Actus Lend Lease DMAFB",58632,"AZ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Acushnet AD Makepeace",58270,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Acushnet Ball Plant 2",62835,"MA","Industrial Non-CHP","BA","MWH","Batteries"
"Acushnet Hawes Reed Road",58271,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Acushnet- High Hill",59128,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Acushnet-Braley Road 1",59121,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Ada Cogeneration LP",10819,"MI","IPP CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Ada Dam",50433,"MI","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Adair Wind Farm",56810,"IA","Electric Utility","WT","WND","Onshore Wind Turbine"
"Adams",64682,"SC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adams Ave MS and HS",60772,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adams Community Solar Garden III LLC",59850,"CO","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adams Community Solar Garden LLC",59849,"CO","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adams Farm Solar",59775,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adams Nielson Solar",61933,"WA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adams Solar",62026,"CT","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adams Solar Center",61496,"OR","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adams Wind",59637,"IA","Electric Utility","WT","WND","Onshore Wind Turbine"
"Adams Wind Farm",56307,"MN","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Adams Wind Generations LLC",57375,"MN","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Adelanto Solar II, LLC",59440,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adelanto Solar Project",57305,"CA","Electric Utility","PV","SUN","Solar Photovoltaic"
"Adelanto Solar, LLC",59441,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adera Solar",60027,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adirondack A+B Community Solar Garden",64588,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adirondack Solar",63772,"NY","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adkins Energy LLC",58136,"IL","Industrial CHP","GT, ST","NG","Multiple"
"Adobe San Jose",57811,"CA","IPP Non-CHP","FC","NG","Other Natural Gas"
"Adobe Solar",57651,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Adrian",1956,"MN","Electric Utility","IC","DFO","Petroleum Liquids"
"Adrian Energy Associates LLC",54903,"MI","IPP Non-CHP","IC","LFG","Landfill Gas"
"Advance Stores Company, Inc",59788,"CT","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Aegis CSG",63059,"NY","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Aeolus Wind Facility",56225,"TX","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Aera San Ardo Cogen Facility",55184,"CA","Industrial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Aerojet I",57697,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Aerojet II",57698,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Aerolease",61718,"CA","Industrial Non-CHP","PV","SUN","Solar Photovoltaic"
"Afton Generating Station",55210,"NM","Electric Utility","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Agassiz Beach LLC",55576,"MN","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Agawam Solar",59028,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Agnews Power Plant",50748,"CA","IPP Non-CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"AgriReNew",59181,"IA","IPP CHP","GT","OBG","Other Waste Biomass"
"Agrilectric Power Partners Ltd",10593,"LA","IPP Non-CHP","ST","AB","Other Waste Biomass"
"Agrium Kenai Nitrogen Operations",54452,"AK","Industrial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Agriwind",56408,"IL","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Agua Caliente Solar Project",57373,"AZ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Agua Fria",141,"AZ","Electric Utility","BA, GT, PV, ST","MWH, NG, SUN","Multiple"
"Agua Mansa Power Plant",55951,"CA","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Ahoskie",59795,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Aidlin Geothermal Power Plant",52158,"CA","IPP Non-CHP","ST","GEO","Geothermal"
"Ainsworth Wind",56162,"NE","Electric Utility","WT","WND","Onshore Wind Turbine"
"Air Products Port Arthur",55309,"TX","Industrial CHP","GT, ST","NG","Multiple"
"Airport 1 Solar (DIA)",59807,"CO","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Airport Industrial",7995,"CO","Electric Utility","IC","DFO","Petroleum Liquids"
"Airport Solar",62560,"OR","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Ajax Solar",60288,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Ajax Solar, LLC (MA)",62827,"MA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Akron Recycle Energy Plant",54265,"OH","Commercial CHP","ST","NG","Natural Gas Steam Turbine"
"Akron WRF",58980,"OH","Commercial CHP","IC","OBG","Other Waste Biomass"
"Al Turi",10549,"NY","IPP Non-CHP","IC","LFG","Landfill Gas"
"Alabama Pine Pulp",54429,"AL","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Alabama River Pulp",10216,"AL","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Alakanuk",57053,"AK","Electric Utility","IC","DFO","Petroleum Liquids"
"Alameda",7450,"CA","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Alamo",905,"CA","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Alamo 6",59206,"TX","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Alamo Solar",59469,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Alamogordo Solar Energy Center",57577,"NM","Electric Utility","PV","SUN","Solar Photovoltaic"
"Alamosa",464,"CO","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Alamosa Solar South CSG",64266,"CO","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Albany Green Energy",60340,"GA","IPP CHP","ST","WDS","Wood/Wood Waste Biomass"
"Albany Medical Ctr Cogen Plant",59453,"NY","Commercial CHP","GT","NG","Natural Gas Fired Combustion Turbine"
"Albany Solar",60519,"MN","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Albemarle Beach Solar",64169,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Albemarle Hospital Unit",56339,"NC","Electric Utility","IC","DFO","Petroleum Liquids"
"Albemarle Prime Power Park",56263,"NC","Electric Utility","IC","DFO","Petroleum Liquids"
"Albemarle Solar Center LLC",58806,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Albeni Falls",851,"ID","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Albert Einstein College of Medicine",62398,"NY","Commercial Non-CHP","IC","DFO, NG","Multiple"
"Albertson Solar LLC",59901,"NC","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Albertsons at Melrose Park",65005,"IL","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Albertville",7924,"AL","Electric Utility","IC","DFO","Petroleum Liquids"
"Albuquerque Solar Energy Center",57567,"NM","Electric Utility","PV","SUN","Solar Photovoltaic"
"Alcalde Solar Array",63477,"NM","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Alcona",1693,"MI","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Alcova",6409,"WY","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Alden Bailey Power Plant",56223,"OR","Electric Utility","GT","NG","Natural Gas Fired Combustion Turbine"
"Alden Solar CSG LLC",64021,"CO","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Alder",3913,"WA","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Alethea I",58519,"NJ","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Alexander",4060,"WI","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Alexander Wind Farm LLC",58666,"KS","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Alexandria",1958,"MN","Electric Utility","IC","DFO","Petroleum Liquids"
"Alexis Solar, LLC",64227,"TX","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Algodones",2475,"NM","Electric Utility","ST","NG","Natural Gas Steam Turbine"
"Algona",1120,"IA","Electric Utility","IC","DFO","Petroleum Liquids"
"Algonquin Power Sanger LLC",57564,"CA","IPP Non-CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Algonquin SKIC 10 Solar, LLC",60242,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Algonquin SKIC20 Solar LLC",59412,"CA","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Algonquin Windsor Locks",10567,"CT","IPP CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Alice Falls Hydro Project",54391,"NY","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Alicea Solar Project Hybrid CSG",63469,"MA","IPP Non-CHP","BA, PV","MWH, SUN","Multiple"
"Alicia Dock",8865,"PA","Electric Utility","--","--","--"
"Alkali Solar, LLC",63795,"OR","IPP Non-CHP","PV","SUN","Solar Photovoltaic"
"Allatoona",760,"GA","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Allegan Dam",1694,"MI","Electric Utility","HY","WAT","Conventional Hydroelectric"
"Allegany Cogen",7784,"NY","IPP Non-CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Allegheny Energy Units 3 4 & 5",55710,"PA","IPP Non-CHP","CA, CT","NG","Natural Gas Fired Combined Cycle"
"Allegheny Hydro No 8",50897,"PA","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Allegheny Hydro No 9",50898,"PA","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Allegheny No 6 Hydro Station",50894,"PA","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Allegheny No. 5 Hydro Station",50893,"PA","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Allegheny Ridge Wind Farm",56451,"PA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Allen",3393,"TN","Electric Utility","CA, CT, GT","NG","Multiple"
"Allen S King",1915,"MN","Electric Utility","ST","SUB","Conventional Steam Coal"
"Allendale Biomass",58706,"SC","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Allendorf",56215,"IA","IPP Non-CHP","WT","WND","Onshore Wind Turbine"
"Allens Falls",2540,"NY","IPP Non-CHP","HY","WAT","Conventional Hydroelectric"
"Allenwood",57581,"PA","IPP Non-CHP","IC","LFG","Landfill Gas"
