data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8914492,804,UKR53492,53492,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-) Air Force",,8,"Civilians (Ukraine)",,7,78,Europe,Ukraine,Lviv,Lvivskyi,Lvivska,Lviv,49.8407,24.0305,1,"Suspilne Media; 24 Channel; ZMINA; LIGA.net",Other-National,"On 18 March 2022, Russian air forces fired six guided X-555 missiles from the Black Sea into the aircraft repair factory in the Lviv airport in Lviv. Two missiles were intercepted. No fatalities, one person received injuries.",0,1647984300,UKR
8914493,804,UKR53493,53493,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,,,0,80,Europe,Ukraine,Luhansk,Sievierodonetskyi,Lysychanska,Lysychansk,48.9054,38.4353,1,"24 Channel; Novoye Vremya Ukraine; Suspilne Media",National,"On 18 March 2022, Russian forces fired 10 Grad missiles at a hospital in Lysychansk, Luhansk. Casualties unknown. Two people died as the result of shelling in Kreminna and Lysychansk. [split 2 fatalities among 2 events]",1,1647984300,UKR
8914494,804,UKR53494,53494,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,"Civilians (Ukraine)",,7,78,Europe,Ukraine,Kyiv,Buchanskyi,Makarivska,Makariv,50.4641,29.8113,2,"Unian; Segodnya",National,"On 18 March 2022, Russian forces fired heavy machine guns from tanks at a car of a family evacuating near Makariv, Kyiv. Two women were wounded.",0,1647984300,UKR
8914495,804,UKR53497,53497,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,,,0,80,Europe,Ukraine,Donetsk,Pokrovskyi,Marinska,Marinka,47.9425,37.505,1,"24 Channel; Suspilne Media",National,"On 18 March 2022, Russian forces shelled the village of Marinka, Donetsk. Casualties unknown.",0,1647984300,UKR
8914496,804,UKR53498,53498,"18 March 2022",2022,1,Battles,"Armed clash","Military Forces of Russia (2000-)",,8,"Military Forces of Ukraine (2019-) National Guard","Azov Battalion",1,18,Europe,Ukraine,Donetsk,Mariupolskyi,Mariupolska,Mariupol,47.1298,37.571,1,"24 Channel; Suspilne Media",National,"On 18 March 2022, Russian forces clashed with Ukrainian forces in Mariupol, Donetsk. Azov Battalion destroyed two Russian tanks and a Rys' vehicle. 4 people died, 1 was wounded.",4,1647984300,UKR
8914497,804,UKR53500,53500,"18 March 2022",2022,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Military Forces of Ukraine (2019-)",,1,18,Europe,Ukraine,Mykolaiv,Mykolaivskyi,Mykolaivska,Mykolaiv,46.9672,32.0183,1,"Liveuamap; Suspilne Media; ZMINA","Local partner-New media","On 18 March 2022, Russian air force conducted an air strike on Ukrainian army barracks in Mykolaiv. Casualties unknown.",0,1647984300,UKR
8914498,804,UKR53502,53502,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,"Civilians (Ukraine)","Police Forces of Ukraine (2019-) State Emergency Service of Ukraine",7,78,Europe,Ukraine,Zaporizhia,Zaporizkyi,Stepnenska,Natalivka,47.839,35.3521,1,"Liveuamap; Suspilne Media; Inform.zp.ua; Novoye Vremya Ukraine","Local partner-New media","On 18 March 2022, Russian forces fired at buildings and at state emergency employees trying to extinguish a fire in Natalivka, Zaporizhia. One firefighter was killed after repeated shelling, five were wounded.",1,1647984300,UKR
8914499,804,UKR53508,53508,"18 March 2022",2022,1,"Strategic developments","Disrupted weapons use","Military Forces of Ukraine (2019-)",,1,"Military Forces of Russia (2000-)",,8,18,Europe,Ukraine,Odesa,Odeskyi,Odeska,Odesa,46.4639,30.7386,3,"Segodnya; Stop Corruption; Suspilne Media; 24 Channel",National,"Interception: On 18 March 2022, Ukrainian air defense shot down a Fokus Russian guided missile in the Odesa oblast. Casualties unknown.",0,1647984300,UKR
8914500,804,UKR53515,53515,"18 March 2022",2022,1,Battles,"Armed clash","Military Forces of Ukraine (2019-)",,1,"Military Forces of Russia (2000-)",,8,18,Europe,Ukraine,Luhansk,Sievierodonetskyi,Popasnianska,Popasna,48.6333,38.378,2,"Flot 2017; Liveuamap; National Corps","Local partner-New media","On 18 March 2022, Ukrainian forces clashed with Russian forces near Popasna, Luhansk. Ukrainian forces also fired MANPADS to shoot down a Russian Tochka missile. Casualties unknown.",0,1647984300,UKR
8914501,804,UKR53516,53516,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,,,0,80,Europe,Ukraine,Luhansk,Sievierodonetskyi,Lysychanska,Pryvillia,48.9998,38.3016,1,"24 Channel; Suspilne Media",National,"On 18 March 2022, in the morning, Russian forces fired Grad missiles at the hospital in Pryvillia, Luhansk. Casualties unknown.",0,1647984300,UKR
8914502,804,UKR53517,53517,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)","Luhansk People's Militia; NAF: United Armed Forces of Novorossiya",8,"Military Forces of Ukraine (2019-)",,1,18,Europe,Ukraine,Luhansk,Sievierodonetskyi,Rubizhanska,Rubizhne,49.0123,38.3797,2,"Suspilne Media; Ministry of Defence of Ukraine; LPR People's Militia Press Service; ZMINA; Flot 2017; 24 Channel",Other-National,"On 18 March 2022, Russian forces, including LPR forces, clashed with Ukrainian forces near Rubizhne, Luhansk. Russian forces shelled civilian infrastructure. Casualties unknown.",0,1647984300,UKR
8914503,804,UKR53519,53519,"18 March 2022",2022,1,Battles,"Armed clash","Military Forces of Russia (2000-)",,8,"Military Forces of Ukraine (2019-)",,1,18,Europe,Ukraine,Luhansk,Sievierodonetskyi,Sievierodonetska,Severodonetsk,48.9467,38.4914,1,"ZMINA; Suspilne Media; 24 Channel",Other-National,"On 18 March 2022, Russian forces clashed with Ukrainian forces in Severodonetsk, Luhansk. Russian forces fired Grad missiles in the morning. As the result of clashes, an SBU building, a water supply plant, and warehouses were damaged. Two people died, four were wounded.",2,1647984300,UKR
8914504,804,UKR53520,53520,"18 March 2022",2022,1,Battles,"Armed clash","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",8,"Military Forces of Ukraine (2019-)",,1,18,Europe,Ukraine,Mykolaiv,Bashtanskyi,Snihurivska,Snihurivka,47.0702,32.7914,1,"Suspilne Media; Liveuamap","Local partner-New media","On 18 March 2022, Russian air force conducted an air strike in Snihurivka, Mykolaiv. Ukrainian forces destroyed some Russian equipment. Casualties unknown.",0,1647984300,UKR
8914505,804,UKR53523,53523,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,"Civilians (Ukraine)",,7,78,Europe,Ukraine,Sumy,Sumskyi,Sumska,Sumy,50.9216,34.8003,1,"Suspilne Media; Unian; Segodnya; 24 Channel; Stop Corruption",National,"On 18 March 2022, Russian forces fired artillery at a warehouse with wood paint in Sumy, causing a fire. Artillery fire also took place in other parts of the city, killing a student and a volunteer.",2,1647984300,UKR
8914506,804,UKR53524,53524,"18 March 2022",2022,1,Battles,"Armed clash","Military Forces of Ukraine (2019-)",,1,"Military Forces of Russia (2000-)",,8,18,Europe,Ukraine,Sumy,Okhtyrskyi,Tpostyanetska,Trostianets,50.4848,34.9657,2,"24 Channel; Liveuamap; Ministry of Defence of Ukraine; Flot 2017","Local partner-New media","On 18 March 2022, Ukrainian forces clashed with Russian forces near Trostianets, Sumy. The Ukrainians report on destroying a military column. Casualties unknown.",0,1647984300,UKR
8914507,804,UKR53528,53528,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,,,0,80,Europe,Ukraine,Donetsk,Pokrovskyi,Ocheretynska,Verkhnyotoretske,48.2138,37.8797,2,"Suspilne Media; 24 Channel",National,"On 18 March 2022, Russian forces shelled near Verkhnyotoretske, Donetsk. Casualties unknown.",0,1647984300,UKR
8914508,804,UKR53529,53529,"18 March 2022",2022,1,"Strategic developments","Disrupted weapons use","Military Forces of Ukraine (2019-)",,1,"Military Forces of Russia (2000-)",,8,18,Europe,Ukraine,Vinnytsia,Vinnytskyi,Vinnytska,Vinnytsia,49.2296,28.4659,3,"Stop Corruption; 24 Channel; Novoye Vremya Ukraine",National,"Interception: On 18 March 2022, Ukrainian air defense forces intercepted three Russian missiles over the Vinnytsia oblast. No casualties.",0,1647984300,UKR
8914509,804,UKR53530,53530,"18 March 2022",2022,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Military Forces of Ukraine (2019-)",,1,18,Europe,Ukraine,Mykolaiv,Voznesenskyi,Voznesenskaya,Voznesensk,47.585,31.3321,1,"Suspilne Media; ZMINA; 24 Channel; Novoye Vremya Ukraine; Liveuamap","Local partner-New media","On 18 March 2022, Russian air force conducted an air strike with six missiles on an arms warehouse in Voznesensk, Mykolaiv. 4 fires emerged from the strike. Casualties unknown.",0,1647984300,UKR
8914510,804,UKR53531,53531,"18 March 2022",2022,1,Battles,"Armed clash","Military Forces of Ukraine (2019-)",,1,"Military Forces of Russia (2000-)",,8,18,Europe,Ukraine,Donetsk,Volnovaskyi,Vuhledarska,Vuhledar,47.7789,37.2481,2,"24 Channel; National Corps",Other-National,"On 18 March 2022, Ukrainian forces clashed with Russian forces near Vuhledar, Donetsk. Casualties unknown.",0,1647984300,UKR
8914511,804,UKR53533,53533,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)","Military Forces of Russia (2000-) Air Force",8,"Military Forces of Ukraine (2019-)",,1,18,Europe,Ukraine,Zaporizhia,Zaporizkyi,Zaporizka,Zaporizhia,47.8479,35.1602,2,"24 Channel; Flot 2017; National Corps; Inform.zp.ua; Liveuamap; Novoye Vremya Ukraine","Local partner-New media","On 18 March 2022, Russian forces attacked a Ukrainian military area, a factory, and a mine near Zaporizhia with Smerch missiles and helicopters. Casualties unknown.",0,1647984300,UKR
8914512,804,UKR53534,53534,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,"Civilians (Ukraine)",,7,78,Europe,Ukraine,Kharkiv,Iziumskyi,Oskilska,Zavody,49.1502,37.0783,1,"Stop Corruption; Suspilne Media; 24 Channel",National,"On 18 March 2022, Russian forces fired missiles in Zavody, Kharkiv. As a result of the shelling, one house crashed, killing four people. One person was wounded.",4,1647984300,UKR
8914560,804,UKR53733,53733,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,,,0,80,Europe,Ukraine,Donetsk,Mariupolskyi,Mariupolska,Mariupol,47.1298,37.571,1,"Centre for Information Resilience; Twitter","New media","On 18 March 2022, Russian forces shelled the Azovstal metallurgical plant in Mariupol, Donetsk oblast, causing explosive and fire damage. Casualties unknown.",0,1647984300,UKR
8914561,804,UKR53734,53734,"18 March 2022",2022,2,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,,,0,80,Europe,Ukraine,Kyiv,Buchanskyi,Hostomelska,Moshchun,50.6056,30.3078,1,"Twitter; CNN; Centre for Information Resilience","New media-International","Around 18 March 2022, Russian forces shelled the village of Moshchun, Kyiv oblast, causing significant damage to residential areas. Casualties unknown.",0,1647984300,UKR
8914645,804,UKR53472,53472,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,,,0,80,Europe,Ukraine,Donetsk,Horlivskyi,Vuhlehirska,Bohoiavlenka,47.8601,37.2135,1,"24 Channel",National,"On 18 March 2022, Russian forces shelled Bohoiavlenka, Donetsk. Casualties unknown.",0,1647984301,UKR
8914646,804,UKR53522,53522,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,,,0,80,Europe,Ukraine,Donetsk,Volnovaskyi,Vuhledarska,Stepne,47.7949,37.5521,1,"24 Channel",National,"On 18 March 2022, Russian forces shelled Stepne, Donetsk. One person died.",1,1647984301,UKR
8914651,804,UKR53525,53525,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,,,0,80,Europe,Ukraine,Donetsk,Volnovaskyi,Volnovaska,Vasylivka,47.5773,37.6785,1,"24 Channel",National,"On 18 March 2022, Russian forces shelled Vasylivka, Donetsk. Casualties unknown.",0,1647984301,UKR
8914656,804,UKR53507,53507,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,,,0,80,Europe,Ukraine,Donetsk,Pokrovskyi,Marinska,Novomykhaylivka,47.8538,37.4841,1,"24 Channel",National,"On 18 March 2022, Russian forces shelled Novomykhaylivka, Donetsk. Casualties unknown.",0,1647984301,UKR
8914663,804,UKR53511,53511,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,,,0,80,Europe,Ukraine,Donetsk,Volnovaskyi,Olhynska,Olhynka,47.6976,37.5003,1,"24 Channel",National,"On 18 March 2022, Russian forces shelled Olhynka, Donetsk. Casualties unknown.",0,1647984301,UKR
8914664,804,UKR53484,53484,"18 March 2022",2022,1,Protests,"Peaceful protest","Protesters (Ukraine)",,6,,,0,60,Europe,Ukraine,Kherson,Khersonskyi,Hersonska,Kherson,46.6558,32.6178,1,"24 Channel",National,"On 18 March 2022, people protested in Kherson in support of Ukraine's territorial integrity and against the Russian invasion. [size=no report]",0,1647984301,UKR
8914665,804,UKR53477,53477,"18 March 2022",2022,1,"Strategic developments",Arrests,"Military Forces of Ukraine (2019-) Territorial Defense Forces",,1,"Civilians (Ukraine)","Unidentified Armed Group (Russia)",7,17,Europe,Ukraine,Dnipropetrovsk,Dniprovskyi,Dniprovska,Dnipro,48.4593,35.0386,1,"24 Channel",National,"Arrests: On 18 March 2022, Ukrainian territorial defense found and arrested a group of saboteurs in Dnipro. The saboteurs were reportedly working for Russia.",0,1647984301,UKR
8914669,804,UKR53470,53470,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,"Civilians (Ukraine)",,7,78,Europe,Ukraine,Donetsk,Bakhmutskyi,Bakhmutska,Bakhmut,48.5956,37.9999,1,"24 Channel",National,"On 18 March 2022, Russian forces shelled Bakhmut, Donetsk. 1 person died.",1,1647984301,UKR
8914674,804,UKR53501,53501,"18 March 2022",2022,1,Battles,"Armed clash","Military Forces of Ukraine (2019-)",,1,"Military Forces of Russia (2000-)",,8,18,Europe,Ukraine,Mykolaiv,Mykolaivskyi,Mykolaivska,Mykolaiv,46.9672,32.0183,1,"24 Channel",National,"On 18 March 2022, Ukrainian forces clashed with Russian troops in the Kulbakyne neighborhood of Mykolaiv. Around 20 Russian soldiers were killed.",20,1647984301,UKR
8914693,804,UKR53503,53503,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,"Civilians (Ukraine)",,7,78,Europe,Ukraine,Donetsk,Pokrovskyi,Ocheretynska,Netaylove,48.1083,37.5507,1,"24 Channel",National,"On 18 March 2022, Russian forces shelled Netaylove, Donetsk. 1 person died.",1,1647984301,UKR
8914701,804,UKR53514,53514,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,"Civilians (Ukraine)",,7,78,Europe,Ukraine,Donetsk,Pokrovskyi,Pokrovska,Pokrovsk,48.281,37.1814,1,"24 Channel",National,"On 18 March 2022, Russian forces shelled Pokrovsk, Donetsk. 1 person died, 6 were wounded.",1,1647984301,UKR
8914810,804,UKR53512,53512,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Donbass People's Militia",2,12,Europe,Ukraine,Donetsk,Horlivskyi,Horlivska,Panteleimonivka,48.2071,37.9729,1,"DPR Armed Forces Press Service",Other,"On 18 March 2022, Ukrainian forces shelled DPR positions in Panteleimonivka, Donetsk. Casualties unknown.",0,1647984301,UKR
8914815,804,UKR53479,53479,"18 March 2022",2022,1,Protests,"Peaceful protest","Protesters (Ukraine)","Donetsk People's Republic - Government; Government of Russia (2000-); ER: United Russia",6,,,0,60,Europe,Ukraine,Donetsk,Mariupolskyi,Kalchytska,Granitne,47.3206,37.5515,1,"DPR Armed Forces Press Service",Other,"On 18 March 2022, Donetsk rebels' leader, joined by over a dozen United Russia MPs and two members of the Russian Federation Council, protested in Granitne, Donetsk, in support of the annexation of Crimea and in support of the ongoing war in Ukraine. [size=no report]",0,1647984301,UKR
8914820,804,UKR53478,53478,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"Civilians (Ukraine)",,7,17,Europe,Ukraine,Donetsk,Donetskyi,Donetska,"Donetsk - Kirovskyi",47.968,37.5475,1,"DPR Armed Forces Press Service",Other,"On 18 March 2022, Ukrainian forces fired Tochka-U missiles at a residential building on 111B Petrovskogo street in Donetsk - Kirovskyi. Four women died.",4,1647984301,UKR
8914872,804,UKR53480,53480,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,"Military Forces of Ukraine (2019-)",,1,18,Europe,Ukraine,Luhansk,Sievierodonetskyi,Hirska,Hirske,48.7346,38.4954,1,"Flot 2017",National,"On 18 March 2022, Russian forces shelled Ukrainian positions in Hirske, Luhansk. Casualties unknown.",0,1647984301,UKR
8914876,804,UKR53532,53532,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,,,0,80,Europe,Ukraine,Zhytomyr,Korostenskyi,Narodytska,Zalissia,51.2648,29.1945,1,"Flot 2017",National,"On 18 March 2022, Russian forces fired at a houses and a warehouse in Zalissia, Zhytomyr. Casualties unknown.",0,1647984301,UKR
8914950,804,UKR53482,53482,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Luhansk People's Militia",2,12,Europe,Ukraine,Luhansk,Alchevskyi,Kadiivska,Kalinovo,48.5695,38.5245,2,"LPR People's Militia Press Service",Other,"On 18 March 2022, Ukrainian forces shelled the LPR positions near Kalinovo, Luhansk. 13 civilian buildings were damaged. Casualties unknown.",0,1647984301,UKR
8914953,804,UKR53513,53513,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Luhansk People's Militia",2,12,Europe,Ukraine,Luhansk,Alchevskyi,Kadiivska,Pervomaisk,48.6295,38.549,2,"LPR People's Militia Press Service",Other,"On 18 March 2022, Ukrainian forces shelled the LPR positions near Pervomaisk, Luhansk. 6 houses, a kindergarten, and a heating plant were damaged. Casualties unknown.",0,1647984301,UKR
8914959,804,UKR53535,53535,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Luhansk People's Militia",2,12,Europe,Ukraine,Luhansk,Sievierodonetskyi,Hirska,Zolote-5,48.6719,38.56,2,"LPR People's Militia Press Service",Other,"On 18 March 2022, Ukrainian forces shelled the LPR positions near Zolote-5, Luhansk. 3 houses were damaged. Casualties unknown.",0,1647984302,UKR
8914968,804,UKR53518,53518,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Luhansk People's Militia",2,12,Europe,Ukraine,Luhansk,Alchevskyi,Kadiivska,Sentianivka,48.6686,38.7544,2,"LPR People's Militia Press Service",Other,"On 18 March 2022, Ukrainian forces fired 122mm artillery at the LPR positions near Sentianivka, Luhansk. Casualties unknown.",0,1647984302,UKR
8914974,804,UKR53481,53481,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Luhansk People's Militia; Civilians (Ukraine)",2,12,Europe,Ukraine,Luhansk,Alchevskyi,Kadiivska,Irmino,48.5988,38.5917,2,"LPR People's Militia Press Service",Other,"On 18 March 2022, Ukrainian forces fired 122mm artillery at the LPR positions near Irmino, Luhansk. 3 civilians died, 2 were wounded.",3,1647984302,UKR
8914988,804,UKR53521,53521,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Luhansk People's Militia",2,12,Europe,Ukraine,Luhansk,Alchevskyi,Kadiivska,Stakhanov,48.5682,38.6435,2,"LPR People's Militia Press Service",Other,"On 18 March 2022, Ukrainian forces shelled the LPR positions near Stakhanov, Luhansk. Civilians buildings were damaged, the metallurgical plant was cut off the electrical grid. Casualties unknown.",0,1647984302,UKR
8915121,804,UKR53499,53499,"18 March 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,,,0,80,Europe,Ukraine,Zaporizhia,Melitopolskyi,Melitopolska,Melitopol,46.8489,35.3653,1,Reporter-ua,Subnational,"On 18 March 2022, Russian forces shelled Melitopol, Zaporizhia, setting two houses and three cars on fire. No casualties.",0,1647984302,UKR
8915122,804,UKR53526,53526,"18 March 2022",2022,1,Battles,"Armed clash","Military Forces of Russia (2000-)",,8,"Military Forces of Ukraine (2019-)",,1,18,Europe,Ukraine,Zaporizhia,Vasylivskyi,Vasylivska,Vasylivka,47.4369,35.2742,2,Reporter-ua,Subnational,"On 18 March 2022, Ukrainian forces clashed with Russian forces between Vasylivka and Polohy in the Zaporizhia oblast. Losses reported on both sides. Unspecified fatalities coded as 10.",10,1647984302,UKR
