Private sector donor (company or foundation),Est USD value cash donation,Est USD value in-kind donation,One-sentence description for dataviz,Business Sector,Country of Registration,Recipient,Last updated
BHP Foundation,2000000,0,"Donation from the private foundation affiliated with BHP (formerly known as BHP Billiton), an Australian multinational mining, metals and petroleum company.",Materials,Australia,Ukraine Humanitarian Fund (UHF),3/24/2022
BHP Foundation,2000000,0,"Donation from the private foundation affiliated with BHP (formerly known as BHP Billiton), an Australian multinational mining, metals and petroleum company.",Materials,Australia,United Nations High Commissioner for Refugees (UNHCR),3/21/2022
Binance Charity,2500000,0,"Donation of 2.5 million USD equivalent cryptocurrency from the charitable foundation associated with Binance, the world's largest cryptocurrency exchange by trading volume.",Financial services,Cayman Islands,United Nations Children's Fund (UNICEF),3/22/2022
BioNTech SE,1099600,0,"BioNTech SE supports humanitarian aid for the people of Ukraine with a donation of one million Euro,",Health care,Germany,UNO-Flüchtlingshilfe,3/24/2022
Boeing Company Charitable Trust,1000000,0,"Company-sponsored foundation. Boeing announced a US $2 million emergency assistance package to support humanitarian response efforts in Ukraine. The assistance package will be directed to organizations working to bring food, water, clothing, medicine and shelter to displaced Ukrainians – including those seeking refuge in neighboring countries. In addition, Boeing will match all qualifying employee contributions made in support of Ukrainian humanitarian relief through the company's charitable matching program. Funding from the Boeing Charitable Trust will support the following organizations: $1,000,000 to CARE; $500,000 to American Red Cross; $250,000 to Americares; and $250,000 to organizations working to support vulnerable, displaced populations in Ukraine and neighboring countries. USD 1000000.",Industrial/manufacturing,United States,CARE International,3/21/2022
Boeing Company Charitable Trust,500000,0,"Company-sponsored foundation. Boeing announced a US $2 million emergency assistance package to support humanitarian response efforts in Ukraine. The assistance package will be directed to organizations working to bring food, water, clothing, medicine and shelter to displaced Ukrainians – including those seeking refuge in neighboring countries. In addition, Boeing will match all qualifying employee contributions made in support of Ukrainian humanitarian relief through the company's charitable matching program. Funding from the Boeing Charitable Trust will support the following organizations: $1,000,000 to CARE; $500,000 to American Red Cross; $250,000 to Americares; and $250,000 to organizations working to support vulnerable, displaced populations in Ukraine and neighboring countries. USD 500000.",Industrial/manufacturing,United States,American Red Cross,3/21/2022
Boeing Company Charitable Trust,250000,0,"Company-sponsored foundation. Boeing announced a US $2 million emergency assistance package to support humanitarian response efforts in Ukraine. The assistance package will be directed to organizations working to bring food, water, clothing, medicine and shelter to displaced Ukrainians – including those seeking refuge in neighboring countries. In addition, Boeing will match all qualifying employee contributions made in support of Ukrainian humanitarian relief through the company's charitable matching program. Funding from the Boeing Charitable Trust will support the following organizations: $1,000,000 to CARE; $500,000 to American Red Cross; $250,000 to Americares; and $250,000 to organizations working to support vulnerable, displaced populations in Ukraine and neighboring countries. USD 250000.",Industrial/manufacturing,United States,Americares,3/21/2022
Booz-Allen & Hamilton,100000,0,Corporate giving program. Booz Allen Hamilton is matching up to $100k in employee donations for CARE's Ukraine Crisis Fund. USD 100000.,Consulting services,United States,CARE International,3/21/2022
BP plc,5000000,0,Corporate giving program. BP plc donated $5 million to the International Red Cross for Ukraine humnaitarian relief. USD 5000000.,Energy/utilities,United Kingdom,International Committee of the Red Cross and Red Crescent Societies (ICRC),3/21/2022
BP plc,5000000,0,Corporate giving program. BP plc donated $5 million to UNICEF to support children and families in Ukraine. USD 5000000.,Energy/utilities,United Kingdom,United Nations Children's Fund (UNICEF),3/21/2022
Canada Goose ,79193,0,"Donation from the Canada Goose Response Program of CAD 100,000 to support humanitarian efforts in Ukraine.",Consumer goods,Canada,United Nations High Commissioner for Refugees (UNHCR),3/18/2022
Canadian Imperial Bank of Commerce ,79000,0,"Corporate giving program. CIBC announced it is donating $200,000 to three organizations focused on providing immediate humanitarian aid to the people of Ukraine. This includes $100,000 CAD to the UNICEF Canada Ukraine Appeal, which is focused on providing humanitarian aid to children and families and protecting children's rights, while responding to the vulnerabilities caused by the dual crises of conflict and COVID-19. CAD 100000.",Financial services,Canada,United Nations Children's Fund (UNICEF) Canada,3/21/2022
Canadian Imperial Bank of Commerce ,39500,0,"Corporate giving program. CIBC announced it is donating $200,000 to three organizations focused on providing immediate humanitarian aid to the people of Ukraine. This includes $50,000 CAD to Canadian Red Cross Ukraine Humanitarian Crisis Appeal, which will enable the Red Cross and Red Crescent Movement to respond to humanitarian needs generated by the recent crisis. CAD 50000.",Financial services,Canada,Canadian Red Cross,3/21/2022
Canadian Imperial Bank of Commerce ,39500,0,"Corporate giving program. CIBC announced it is donating $200,000 to three organizations focused on providing immediate humanitarian aid to the people of Ukraine. This includes $50,000 to United Nations Refugee Agency Canada (UNHCR), which will help ensure that Ukrainians forced to flee their homes are sheltered and safe. CAD 50000.",Financial services,Canada,United Nations High Commissioner for Refugees (UNHCR),3/21/2022
Canadian Pacific Railway,500000,0,,Industrial/manufacturing,Canada, Canadian Red Cross,3/18/2022
Cargolux,1090000,0,"Corporate giving program. Cargolux will contribute one million euros to UNICEF to aid humanitarian operations in Ukraine as a result of the conflict.

 EUR 1000000.",Industrial/manufacturing,Luxembourg,United Nations Children's Fund (UNICEF),3/21/2022
Cargolux,1090000,0,"Corporate giving program. Cargolux will contribute one million euros to UNHCR to aid humanitarian operations in Ukraine as a result of the conflict.

 EUR 1000000.",Industrial/manufacturing,Luxembourg,United Nations High Commissioner for Refugees (UNHCR),3/21/2022
Cargolux,545000,0,"Corporate giving program. Cargolux will contribute one million euros to Médecins Sans Frontières to aid humanitarian operations in Ukraine as a result of the conflict.

 EUR 500000.",Industrial/manufacturing,Luxembourg,Médecins Sans Frontières (MSF),3/21/2022
Chubb Limited,1000000,0,"Corporate giving program. Chubb announced a $1 million grant and employee matching gift campaign supporting Project Hope, which is providing humanitarian relief to the people of Ukraine. USD 1000000.",Financial services,Switzerland,Project Hope,3/21/2022
Clorox Company,100000,0,"Corporate giving program. The Clorox Company is supporting Ukraine relief through Workplace giving (matching employee donations dollar for dollar) - $100K cash donation to its major disaster partner, Red Cross.  USD 100000.",Consumer goods,United States,American Red Cross,3/21/2022
Cra-Z-Art,250000,0,"Corporate giving program. Cra-Z-Art will donate art supplies, puzzles, coloring books, and other activity kits to support providing toys to Ukrainian refugee children. USD 250000.",Consumer goods,United States,The Toy Foundation,3/21/2022
Currency.com,200000,0,"Corporate giving program. $200,000 was donated to ASAP Rescue for evacuation efforts in Ukraine. USD 200000.",Financial services,Saint Vincent and the Grenadines,ASAP Rescue,3/21/2022
Currency.com,500000,0,"Corporate giving program. Currency.com is contributing $500,000 to support the joint emergency relief efforts of the Ministry of Health in Ukraine and the Red Cross Society of Ukraine. The funds will be used to provide medical aid and basic amenities to displaced Ukrainians. USD 500000.",Financial services,Saint Vincent and the Grenadines,Ukrainian Red Cross Society,3/21/2022
Currency.com,300000,0,"Corporate giving program. Currency.com is contributing $300,000 to The Ministry of Social Policy and Global Giving to help Ukrainians access food, shelter and medical care. USD 300000.",Financial services,Saint Vincent and the Grenadines,GlobalGiving,3/21/2022
Daily Mail and General Trust (DMGT),660000,0,"Corporate giving program. DGMT donation for Red Cross aid during humanitarian crisis in Ukraine. GBP £500,000.",Communication services,United Kingdom,British Red Cross,3/21/2022
Darktrace,10000,0,Donation from a leading cybersecurity company.,Information technology,United States of America,Ukraine Humanitarian Fund (UHF),3/11/2022
Delta Air Lines,100000,0,"Corporate giving program. Delta gave $100,000 to the United Nations High Commissioner for Refugees to assist in providing humanitarian aid to people affected by the crisis in Ukraine. USD 100000.",Industrial/manufacturing,United States,United Nations High Commissioner for Refugees (UNHCR),3/21/2022
Derald H. Ruttenberg Foundation,61288.85,0,Donation from the family foundation established by the founder of Tinicum.,Industrial/manufacturing,United States of America,Ukraine Humanitarian Fund (UHF),3/24/2022
Don't Nod Entertainment SA,32700,0,"Corporate giving program. DONTNOD has pledged €30,000 to the Red Cross in Ukraine.  EUR 30000.",Consumer goods,France,Ukrainian Red Cross Society,3/21/2022
Door County Candle Company,100000,0,"Corporate giving program. Door County Candle Company debuted a Ukraine-themed candle for their customers, with all the money made from the candle going to Razom For Ukraine. The first week’s donation was over $100,000. USD 100000.",Consumer goods,United States,Razom,3/21/2022
Dow ,275000,0,,Information technology,United States of America,International Committee of the Red Cross and Red Crescent Societies (ICRC),3/16/2022
Drax Group PLC,370000,0,"Corporate giving program. Renewable energy company Drax Group is donating $370,000 to the Disasters Emergency Committee Ukraine Humanitarian Appeal to support relief efforts for the Ukrainian people following Russia’s invasion. The DEC Ukraine Humanitarian Appeal aims to provide food, water, shelter, healthcare, and protection to families fleeing the conflict who have left their homes. USD 370000.",Energy/utilities,United Kingdom,Disasters Emergency Committee (DEC),3/21/2022
Dupont,200000,0,"Corporate giving program. DuPont has pledged $200,000 along with matched employee donations to the International Red Cross to address humanitarian relief and refugee support for Ukraine. USD 200000.",Materials,United States,International Committee of the Red Cross and Red Crescent Societies (ICRC),3/21/2022
Eli Lilly and Company Foundation,7500000,0,"Company-sponsored foundation. Lilly is donating $7.5 million of insulin to Project Hope, currently on the ground in Ukraine and is actively shipping essential medicines and medical supplies to assist Ukrainians. USD 7500000.",Health care,United States,Project Hope,3/21/2022
Eli Lilly and Company Foundation,250000,0,"Company-sponsored foundation. The Lilly Foundation is making a monetary contribution of $250,000 to Direct Relief to support their relief efforts in the region and aid those affected by the war in Ukraine. USD 250000.",Health care,United States,Direct Relief,3/21/2022
Eli Lilly and Company Foundation,250000,0,"Company-sponsored foundation. The Lilly Foundation is making a monetary contribution of $250,000 to Americares to support their relief efforts in the region. Americares is currently working to deliver aid for families facing crisis in Ukraine. They are collaborating closely with the World Health Organization, regional health authorities, and international, national and local response organizations in Ukraine and neighbouring countries. USD 250000.",Health care,United States,Americares,3/21/2022
"Esmark, Inc.",25000,0,"Corporate giving program. Esmark, Inc. has donated $25,000 and pledged an additional $25,000 in matching contributions to aid Ukrainian in refugees in Slovakia. The initial donation was made directly to the City of Košice. Esmark will make an additional donation up to $25,000 USD to the City of Košice, matching monetary contributions made by Americans to help Ukrainian refugees. USD 25000.",Industrial/manufacturing,United States,City of Košice,3/21/2022
Eurol Foundation,8175,0,"Company-sponsored foundation. The Eurol Foundation has made a donation of €7,500 to Giro555, part of the Emergency Appeals Alliance, for humanitarian aid for Ukraine.  EUR 7500.",Materials,The Netherlands,Giro555,3/21/2022
Fashion Institute of Design & Merchandising (FIDM),298000,0,"Corporate giving program. FIDM is donating $298,000 worth of clothing and essentials to the Mission of Mercy for Ukraine, a United States-based non-profit supporting the hardest-hit victims of the war in Ukraine. USD 298000.",Consumer goods,United States ,Mission of Mercy for Ukraine,3/21/2022
"Fast Retailing Co., Ltd.",10000000,0,"Corporate giving program. Fast Retailing Co., Ltd., in response to the humanitarian emergency in Ukraine, announced a donation of US$10 million (approx. 1.15 billion yen) to UNHCR, the UN Refugee Agency, to support people forced to flee. The donation will be used by UNHCR to provide such urgent assistance as shelter, psychosocial support and core relief items to affected populations in Ukraine and neighboring countries. USD 10000000.",Consumer goods,Japan,United Nations High Commissioner for Refugees (UNHCR),3/21/2022
Fidelity Investments,47850,0,Donation from American financial services corporation.,Financial services,United States of America,Ukraine Humanitarian Fund (UHF),3/24/2022
Ford Motor Company Fund,100000,0,"Company-sponsored foundation. The Ford Fund announced it is making a $100,000 donation to the Global Giving Ukraine Relief Fund for humanitarian aid to assist Ukrainian citizens and families who have been displaced during this crisis. USD 100000.",Consumer goods,United States,GlobalGiving,3/21/2022
FOX Corporation,1000000,0,"Corporate giving program. FOX Corporation donated $1 million to the American Red Cross to support their mission to provide aid and resources including water, medical supplies, housing support and more to the most vulnerable — both within Ukraine and for those who have been forced to leave their homes.  USD 1000000.",Communication services,United States,Ukrainian Red Cross Society,3/21/2022
FreeWill Co.,10800,0,Donation from US-based estate planning public benefit company.,Financial services,United States of America,Ukraine Humanitarian Fund (UHF),3/10/2022
Fujitsu Group,1000000,0,"Fujitsu Group will donate 1 million U.S. dollars (approximately 115 million yen) to UNHCR, the UN Refugees Agency, to provide urgently needed humanitarian support for the many people displaced by the ongoing crisis in Ukraine and countries in the surrounding region.",Consumer goods,Japan,United Nations High Commissioner for Refugees (UNHCR),3/24/2022
Fuller Giving Foundation,10000,0,"Company-sponsored foundation. Fuller Giving Foundation will donate $10,000 CAD to the Canadian Red Cross for relief efforts in Ukraine. CAD 10000.",Financial services,Canada,Canadian Red Cross,3/21/2022
"Fundación ""la Caixa""",1649490,,1.5 million euros donation to Ukrainian Red Cross,Financial services,Spain,Ukrainian Red Cross Society,3/24/2022
Fundación A.M.A.,1090000,0,Company-sponsored foundation. Fundación A.M.A. donated €1 million to Fundación Mensajeros de La Paz to provide humanitarian assistance to Ukrainians displaced by the conflict inside the country and Ukrainian refugees outside the country. EUR 1000000.,Financial services,Spain,Fundación Mensajeros por la Paz,3/21/2022
Fundación Aon España,21800,0,"Company-sponsored foundation. Fundación Aon España donated €20,000 to the Spanish Red Cross' emergency aid fund to support their response to the humanitarian crisis in Ukraine, in border countries and humanitarian corridors, as well as the reception of refugees arriving in Spain. EUR 20000.",Energy/utilities,Spain,Spanish Red Cross,3/21/2022
Fundacion MAPFRE,76300,0,"Company-sponsored foundation. Fundación MAPFRE has committed to matching contributions to its Help Ukraine campaign, up to a maximum of 70,000 euros. The campaign aims to help cover the urgent needs of displaced Ukrainians in Romania. Funding will go to Fundacion Mensajeros de la Paz, which is working at the Siret border crossing in western Ukraine on the border with Romania, providing food, transportation and services to refugee families who arrive. EUR 70000.",Financial services,Spain,Fundación Mensajeros por la Paz,3/21/2022
GE Foundation,400000,0,"Company-sponsored foundation. The GE Foundation made a $400,000 donation to the International Rescue Committee (IRC) to provide immediate relief to refugees from Ukraine in need of emergency cash to meet basic needs, additional support for vulnerable displaced women and children, and the delivery of life-saving information (such as legal rights and accommodation) through IRC's established digital tools for people who are in transit or starting life in a new country.  USD 400000.",Consumer goods,United States,International Rescue Committee (IRC),3/21/2022
GE Foundation,100000,0,"Company-sponsored foundation. The GE Foundation made a $100,000 donation to Airlink, supporting its efforts to deliver aid resources to an estimated 100,000-250,000 displaced families from Ukraine in Poland, Moldova, and Romania. Airlink is a rapid-response humanitarian relief organization that exists to remove the cost barriers of air transport to help communities in crisis. USD 100000.",Consumer goods,United States,Airlink,3/21/2022
General Motors,250000,0,"Corporate giving program. GM North America will donate $250,000 to the International Rescue Committee for the humanitarian crisis in Ukraine. USD 250000.",Consumer goods,United States,International Rescue Committee (IRC),3/21/2022
GlaxoSmithKline plc,3960000,0,"Corporate giving program. GSK is making a £3m donation to the Red Cross’s Ukraine crisis work. The Red Cross is working in Ukraine and bordering countries to fund food, water, first aid, medicines, warm clothes and shelter for refugees. GBP £3,000,000.",Consumer goods,United Kingdom,International Committee of the Red Cross and Red Crescent Societies (ICRC),3/22/2022
Google.org ,2600000,0,"Corporate giving program. Google.org and employees donated USD 2.6 million (over PLN 10 million) to the Polish Center for International Aid Foundation (PCPM) - an organization offering immediate, direct help and support in evacuation from conflict zones in Ukraine, providing transport to and from border areas, as well as accommodation and resources. USD 2600000.",Information technology,United States,Polish Center for International Aid Foundation,3/21/2022
Google.org ,1000000,0,"Corporate giving program. Google.org provided a grant of USD 1 million (nearly PLN 4 million) to the Association for Legal Intervention , which is part of a consortium  of social organizations working to help refugees and refugees after their arrival in Poland from conflict zones in Ukraine. USD 1000000.",Information technology,United States,The Association for Legal Intervention,3/21/2022
Gucci,500000,0,"Corporate giving program. Gucci has donated $500,000 to the UN Refugee Agency (UNHCR) in response to the crisis in Ukraine. USD 500000.",Consumer goods,Italy,United Nations High Commissioner for Refugees (UNHCR),3/21/2022
Heartland,1500000,0,"Corporate giving program. Denmark-based Heartland donated DKK 10 million to the Red Cross, UNICEF and the UN Refugee Agency, UNHCR, respectively, followed by donations to a number of other aid programmes. DKK 10,000,000 kr..",Consumer goods,Denmark,International Committee of the Red Cross and Red Crescent Societies (ICRC),3/21/2022
Heartland,1500000,0,"Corporate giving program. Denmark-based Heartland donated DKK 10 million to the Red Cross, UNICEF and the UN Refugee Agency, UNHCR, respectively, followed by donations to a number of other aid programmes. DKK 10,000,000 kr..",Consumer goods,Denmark,United Nations Children's Fund (UNICEF),3/21/2022
Heartland,1500000,0,"Corporate giving program. Denmark-based Heartland donated DKK 10 million to the Red Cross, UNICEF and the UN Refugee Agency, UNHCR, respectively, followed by donations to a number of other aid programmes. DKK 10,000,000 kr..",Consumer goods,Denmark,United Nations High Commissioner for Refugees (UNHCR),3/21/2022
Helly Hansen,158000,0,"Corporate giving program. The softgoods brand Helly Hansen committed $200,000 CAD to the Red Cross in response to the crisis in Ukraine. CAD 200000.",Consumer goods,Norway,Canadian Red Cross,3/21/2022
Hendrick Automotive,200000,0,"Corporate giving program. Hendrick Automotive has committed $200,000 to Samaritan’s Purse for disaster assistance in Ukraine. USD 200000.",Consumer goods,United States,Samaritan’s Purse,3/21/2022
Hilco Global,37500,0,"Corporate giving program. Hilco Global, through its Hilco Helps (www.hilcohelps.com) initiative, is donating the first $75,000 split equally between Sunflower of Peace and United Help Ukraine, as they represent two organizations the company feels are having an immediate impact on Ukraine relief efforts.  USD 37500.",Financial services,United States,Sunflower of Peace,3/21/2022
Hilco Global,37500,0,"Corporate giving program. Hilco Global, through its Hilco Helps (www.hilcohelps.com) initiative, is donating the first $75,000 split equally between Sunflower of Peace and United Help Ukraine, as they represent two organizations the company feels are having an immediate impact on Ukraine relief efforts.  USD 37500.",Financial services,United States,United Help Ukraine,3/21/2022
Home Capital Group,39500,0,"Corporate giving program. Home Capital Group Inc. and its subsidiary, Home Trust Company, announced a donation of $50,000 CAD to the Canadian Red Cross Ukraine Humanitarian Crisis Appeal in support of humanitarian relief efforts in Ukraine. CAD 50000.",Financial services,Canada,Canadian Red Cross,3/21/2022
Hotel Engine,35200,0,"Corporate giving program. Hotel Engine announced a donation of $35,200, or $100 per associate, to the United Nation’s World Food Programme, which launched an emergency operation to provide assistance for people seeking refuge. The company is also offering assistance to its associates, clients and contractors who have friends and family fleeing the Ukraine.  USD 35200.",Consumer goods,United States,World Food Programme (WFP),3/21/2022
Hyundai Motor Company ,1000000,0,Corporate giving program. Hyundai Motor Group is donating $1 million to the Red Cross to provide humanitarian aid to Ukraine.  USD 1000000.,Consumer goods,South Korea,International Committee of the Red Cross and Red Crescent Societies (ICRC),3/21/2022
IBM,250000,0,Donation to NGO working to support Ukrainian refugees.,Information technology,United States of America,People in Need,3/11/2022
IBM,250000,0,Donation to NGO working to support Ukrainian refugees.,Information technology,United States of America,Polish Humanitarian Action,3/11/2022
Iceland Foods Charitable Foundation,198000,0,"Public charity. Iceland Charitable Foods Foundation will donate £150,000 to the British Red Cross to help those who have been displaced by the conflict access necessities and medical care. GBP £150,000.",Consumer goods,United Kingdom,British Red Cross,3/21/2022
ICR Touch,26440,0,"Corporate giving program. ICR Touch donated £20,000 to the Disasters Emergency Committee (DEC) to aid the people of the Ukraine. GBP £20,000.",Information technology,United Kingdom,Disasters Emergency Committee (DEC),3/21/2022
Ikea Foundation,22000000,0,"Netherlands-based foundation announced an ""immediate"" donation of €20 million ($22 million) to support Ukraine.",Consumer goods,Netherlands,United Nations High Commissioner for Refugees (UNHCR),3/8/2022
Ikea Foundation,5500000,0,"€5 million donation to their emergency fund to give life-saving care where the needs are greatest, including in and around Ukraine. ",Consumer goods,Netherlands,Médecins Sans Frontières (MSF),3/24/2022
John Lewis Partnership,132000,0,"Corporate giving program. The John Lewis Partnership is making a first donation of £100,000 to the British Red Cross directly in support of their Ukraine Crisis Appeal. This will help provide food, water, medicine, warm clothing and shelter to those whose lives have been torn apart by this invasion GBP £100,000.",Consumer goods,United Kingdom,British Red Cross,3/21/2022
John Lewis Partnership,198000,0,"Corporate giving program. John Lewis will match donations from customers and employees to British Red Cross Ukraine Crisis Appeal, up to the value of £150,000. GBP £150,000.",Consumer goods,United Kingdom,British Red Cross,3/21/2022
Jonathan Molot and Hattie Ruttenberg Foundation,43248.89,0,Donation from private foundation associated with the founder of Burford Capital. ,Financial services,United States of America,Ukraine Humanitarian Fund (UHF),3/24/2022
JPMorgan Chase & Co. ,1000000,0,Corporate giving program. JPMorgan Chase made an initial $1 million contribution to the United Nations High Commissioner for Refugees (UNHCR) to support the rising number of people who’ve been forced to flee Ukraine. USD 1000000.,Financial services,United States,United Nations High Commissioner for Refugees (UNHCR),3/21/2022
Kansas City Southern Charitable Fund,500000,0,"Corporate giving program. Kansas City Southern (KCS) announced that it has pledged a total of $500,000 to the American Red Cross to support the global Red Cross network response to the Ukraine humanitarian crisis, and will also match employees’ contributions to the American Red Cross for this effort. USD 500000.",Industrial/manufacturing,United States,American Red Cross,3/21/2022
KeyBank Foundation,100000,0,"Company-sponsored foundation. KeyBank Foundation will give a $100,000 grant to the American Red Cross to support its efforts to provide food, water, and other essential items and services to the people of Ukraine. USD 100000.",Financial services,United States,American Red Cross,3/21/2022
KeyBank Foundation,50000,0,"Company-sponsored foundation. KeyBank Foundation will make a $50,000 grant to UNICEF for its work supporting children and families impacted by the war in Ukraine. USD 50000.",Financial services,United States,United Nations Children's Fund (UNICEF),3/21/2022
Kikkoman,1000000,0,,Consumer goods,Japan,World Food Programme (WFP),3/22/2022
